Distance from Tangos Halo	x	y	z	vx	vy	vz	Mean [Fe/H]	Mean Tform	Total Stellar Mass	Half-light radius	Simulation	Output Number	Tangos Halo ID	Internal ID	Count ID	Mask Out
kpc	kpc	kpc	kpc	km s**-1	km s**-1	km s**-1	dec	Myr	log10(msol)	pc	N/A	N/A	N/A	N/A	N/A	N/A
2.282554081	0.987677946	2.035240725	-0.303875963	12.19672689	12.40226184	-8.108109827	-1.394207355	1731.984323	3.947611945	14.51006705	Halo383_Massive	35	0	83	83	0
2.78601997	0.619114008	-2.017956649	-1.818366322	-19.2175748	22.43212817	19.35128451	-1.716617577	1477.795879	3.791379426	8.117597465	Halo383_Massive	30	0	84	84	0
3.946049619	1.513970025	-3.625280176	-0.369521318	10.83832321	6.871750099	10.72394555	-2.3494572	957.1576667	3.986943559	6.40665233	Halo383_Massive	21	16	85	85	0
0.485806658	0.007333541	0.010703639	-0.48563336	2.680073174	-2.31456989	7.447604129	-1.461081305	1727.659503	3.712510147	8.041689785	Halo383_Massive	35	0	86	86	0
1.76091006	-0.353011007	-1.7095986	0.231214395	7.430970365	-9.398794534	9.354901079	-1.448377123	1709.350815	3.711448295	23.67736926	Halo383_Massive	35	0	87	87	0
1.773954379	-0.400361286	-1.702132836	0.298946126	5.663780016	-2.154272231	9.742986905	-1.400302782	1732.566562	4.367407507	2.926163593	Halo383_Massive	35	0	88	88	0
0.625570304	0.235019487	0.561892963	0.14275974	7.927160799	-28.68760143	-13.20012418	-1.523996224	1652.745876	3.828450693	5.119612094	Halo383_Massive	33	0	89	89	0
2.149896331	0.002204215	-2.149420467	-0.045177815	9.770123746	7.443356014	-2.421289565	-1.3544869	1754.542389	3.857787533	2.478674183	Halo383_Massive	36	0	90	90	0
2.388965347	-0.046199297	-2.38829763	0.032488175	16.5332471	8.169537765	-5.375855706	-1.445174761	1740.236117	3.879233367	3.405726798	Halo383_Massive	36	0	91	91	0
2.195233173	-0.038851199	-2.194377167	-0.047414285	14.35774665	-7.342383845	0.300321024	-1.337497431	1775.082117	3.621317817	2.661570966	Halo383_Massive	36	0	92	92	0
1.181824399	-0.185902128	-1.155461143	-0.164495764	14.85170568	-10.51773103	-3.433981342	-1.396032865	1718.830805	3.96747135	5.663719771	Halo383_Massive	35	0	93	93	0
2.154805978	-0.057308089	-2.152232993	-0.088304761	7.564910079	2.590703989	1.810437463	-1.316301397	1761.251788	3.964868095	17.43174115	Halo383_Massive	36	0	94	94	0
2.181220679	0.069305086	-2.176010113	-0.133792534	12.98131547	13.84101946	-7.825584212	-1.379224748	1749.150866	3.810551288	2.571962114	Halo383_Massive	36	0	95	95	0
2.213895235	0.083289001	-2.21077893	-0.082774251	9.327400018	9.708736337	-4.555602761	-1.365658202	1749.895608	3.819529529	1.373821713	Halo383_Massive	36	0	96	96	0
2.061120226	-0.073103775	-2.057707276	-0.09334446	7.565615754	-0.178765729	-3.43622416	-1.33742802	1762.320093	3.683987879	6.778993898	Halo383_Massive	36	0	97	97	0
1.196619961	-0.38365315	0.755001338	-0.845389007	-10.44849836	2.832977899	-19.40345316	-1.4514828	1737.846761	3.847300556	2.588758961	Halo383_Massive	35	0	99	99	0
2.846254708	0.715230857	-2.225345908	-1.624021637	-20.06643553	31.87470836	21.81799408	-1.724595528	1506.792111	3.840815423	5.51014474	Halo383_Massive	30	0	101	101	0
3.114950591	0.845522989	-2.202642558	-2.033807715	-13.34608643	11.85318323	18.01144844	-1.516711949	1511.871237	3.820433577	8.323337005	Halo383_Massive	30	0	102	102	0
2.43051233	1.164261906	2.111227404	0.307576416	5.911676249	5.772991386	-8.150165925	-1.461315397	1775.072954	4.032392532	4.310402239	Halo383_Massive	36	0	103	103	0
2.212605892	1.179573569	1.853292968	0.263697181	-2.115694582	-5.790369688	-5.305205635	-1.473746176	1753.809717	3.850227105	20.08329756	Halo383_Massive	36	0	104	104	0
1.805711917	0.61561875	1.655402038	0.375836634	-8.836784351	-12.23180681	-4.438019651	-1.448332954	1743.116107	3.765689804	2.307928398	Halo383_Massive	36	0	105	105	0
1.871956102	1.118042951	1.477898664	-0.264603757	-6.655823465	-3.502302195	0.761954531	-1.425784907	1749.454518	3.680800254	15.92613387	Halo383_Massive	36	0	106	106	0
2.276673265	1.28649445	1.858990547	0.268937411	3.667814377	-4.124126171	-4.375916679	-1.417536472	1758.357685	3.781862821	20.54149502	Halo383_Massive	36	0	107	107	0
1.576651258	-0.206867207	-1.559666976	0.102342928	9.744442167	22.53418442	-4.442915449	-1.323859655	1739.535346	3.774914114	3.759055796	Halo383_Massive	35	0	109	109	0
2.251435679	-0.086388122	-2.248756403	-0.06778162	4.526006964	-32.13721264	3.399076851	-1.473747706	1743.359033	3.771581938	5.30523222	Halo383_Massive	36	0	110	110	0
1.642150748	-0.377607725	-1.596627215	-0.069663637	12.31398829	-5.086337133	-0.703841107	-1.375924633	1704.605455	3.852405184	9.085975413	Halo383_Massive	35	0	111	111	0
2.321441077	1.095835387	2.038718923	0.178489864	-9.188238687	-2.711312012	-1.866621885	-1.472751872	1740.546417	3.797638874	15.4111122	Halo383_Massive	36	0	112	112	0
